Latitude_degree,Longitudedegree,Water_Sample_Depth_m,Microplastics_measurement,Toxicity,Color,nearest_current_speed,nearest_u_current,nearest_v_current,is_land
-23.490067,8.264683,11.0,1.5,High,Red,0.1415980298778941,0.0950000062584877,0.1050000041723251,False
-24.163756,8.668449,11.0,0.0,Low,Green,0.1480337833315008,0.0650000050663948,0.1330000013113021,False
-24.909487,9.11735,11.0,1.5,High,Red,0.250798736342908,0.2120000123977661,0.1340000033378601,False
69.372361,46.56375,3.0,0.643501,High,Red,0.0314006379901899,0.025000000372529,-0.0190000012516975,False
69.877361,52.247083,3.0,0.319489,High,Red,0.0304795036764455,0.0230000019073486,0.0200000014156103,False
69.821667,50.714167,3.0,0.27465,High,Red,0.0060827625895512,0.006000000052154,-0.0010000000474974,False
12.898611,100.866667,0.3333333333333333,5840.0,High,Red,0.3584034192647597,0.0620000027120113,-0.3530000150203705,False
12.898611,100.866667,0.3333333333333333,7680.0,High,Red,0.3584034192647597,0.0620000027120113,-0.3530000150203705,False
12.771389,100.898889,0.6666666666666666,6560.0,High,Red,0.227079294300068,0.2270000129938125,0.006000000052154,False
12.742222,100.841111,0.04,1680.0,High,Red,0.3275622392845186,0.184000015258789,-0.2710000276565552,False
12.663611,101.038333,0.08,800000.0,High,Red,0.227079294300068,0.2270000129938125,0.006000000052154,False
12.663889,101.040278,0.08,400000.0,High,Red,0.227079294300068,0.2270000129938125,0.006000000052154,False
12.665,101.0425,0.08,40000.0,High,Red,0.227079294300068,0.2270000129938125,0.006000000052154,False
12.674167,101.064444,0.08,35680.0,High,Red,0.227079294300068,0.2270000129938125,0.006000000052154,False
12.674722,101.066944,0.08,68480.0,High,Red,0.227079294300068,0.2270000129938125,0.006000000052154,False
12.675,101.07,0.04,15280.0,High,Red,0.227079294300068,0.2270000129938125,0.006000000052154,False
12.618889,101.37,0.04,28160.0,High,Red,0.0417731983327074,-0.0410000011324882,0.0080000003799796,False
12.605833,101.873611,0.04,21920.0,High,Red,0.1053090720114012,-0.0970000028610229,0.0410000011324882,False
12.607778,101.871111,0.04,23360.0,High,Red,0.1053090720114012,-0.0970000028610229,0.0410000011324882,False
6.8631,79.8595,0.15,0.0682333333333333,High,Red,0.415250548353471,-0.1370000094175338,0.3920000195503235,False
6.8631,79.8595,0.15,0.0682333333333333,High,Red,0.415250548353471,-0.1370000094175338,0.3920000195503235,False
42.721317,10.179883,0.0,0.514425,High,Red,0.0178044946931256,0.0140000004321336,0.0110000008717179,False
42.785017,10.468967,0.0,0.046488,High,Red,0.006000000052154,0.006000000052154,0.0,False
42.8835,10.448833,0.0,0.12145,High,Red,0.0355105619648107,0.0350000001490116,-0.006000000052154,False
42.9287,10.1732,0.0,0.329775,High,Red,0.0411946609936767,0.0410000011324882,-0.0040000001899898,False
43.015317,9.977433,0.0,45.836225,High,Red,0.0392045927677604,0.0240000002086162,-0.0310000013560056,False
43.355417,10.177333,0.0,1.58825,High,Red,0.046615449850315,-0.0180000010877847,0.0430000014603138,False
43.978933,9.750217,0.0,0.896025,High,Red,0.0718401061125801,-0.0200000014156103,0.0690000057220459,False
44.113,9.68065,0.0,0.876588,High,Red,0.0718401061125801,-0.0200000014156103,0.0690000057220459,False
44.34405,9.047283,0.0,0.9891,High,Red,0.1488086098711633,-0.1200000047683715,0.0880000069737434,False
44.283333,9.01,0.0,0.0219,High,Red,0.1488086098711633,-0.1200000047683715,0.0880000069737434,False
43.95,9.873333,0.0,0.218413,High,Red,0.0718401061125801,-0.0200000014156103,0.0690000057220459,False
43.520017,10.193883,0.0,0.476025,High,Red,0.023537206530875,0.0050000003539025,-0.0230000019073486,False
42.996533,9.945017,0.0,0.046238,High,Red,0.0392045927677604,0.0240000002086162,-0.0310000013560056,False
42.880833,10.14715,0.0,0.086713,High,Red,0.0411946609936767,0.0410000011324882,-0.0040000001899898,False
42.841783,10.266283,0.0,0.126938,High,Red,0.0178044946931256,0.0140000004321336,0.0110000008717179,False
42.836583,10.46935,0.0,0.249738,High,Red,0.006000000052154,0.006000000052154,0.0,False
42.781783,10.5648,0.0,0.236725,High,Red,0.006000000052154,0.006000000052154,0.0,False
